303	21246000 770370963
205	21373000 628360244
215	21592000 579135570
314	14842000 501573058
512	12921000 567475717
135	18313000 886409681
423	10967000 461048201
504	14546000 552842602
136	23679000 729945670
316	27852000 696526549
361	10122000 427843411
155	11494000 746346340
218	88598000 2218355179
254	10077000 570520157
138	35127000 847570773
273	17177000 663898502
148	69922000 2056826674
229	10034000 619116985
364	12167000 614248432
490	23225000 289456837
11	364065000 4588028132
446	23270000 670463064
294	32247000 448534004
438	18910000 638289607
40	24082000 789169608
14	11607000 541770872
269	18343000 634223376
278	20114000 473748925
32	11069000 381416531
737	17645000 348686212
378	11508000 334285193
25	12668000 815546142
667	10616000 319071938
27	72134000 1738690885
90	22062000 1149904373
28	10111000 361353509
55	65412000 1163887215
64	48262000 1339940451
73	18749000 365170222
91	12248000 203403767
56	15752000 911273584
83	32212000 866900576
897	14297000 329012439
987	17804000 510873755
1	197522000 3782366828
49	12702000 546298885
2	42927000 1098672058
77	43454000 1118768516
3	450031000 5282012108
69	22631000 725699349
87	18484000 587768077
4	78097000 1379386745
6	601374000 5668459801
7	86898000 2053341660
1	11	103914543 390812604
1	136	10480526 39518745
1	138	14175836 45134059
1	148	31869632 103845414
1	2	15917049 130964257
1	218	37420532 80594268
1	27	28744286 142223201
1	294	10799959 11735338
1	3	115723954 600591098
1	303	10289960 19934942
1	316	11658465 14721695
1	4	25422533 151792036
1	40	10806860 62497240
1	446	10136167 7090237
1	55	21904890 80944181
1	6	142051720 559165133
1	64	19833186 85599554
1	7	33627602 203173286
1	77	17745915 74454789
1	83	13828770 54943931
1	90	12211859 61251695
2	11	24873851 113213051
2	3	27071536 165146098
2	6	32583081 155980263
3	11	198822181 560948877
3	135	13578445 54552234
3	136	16119883 48549696
3	138	22921088 57145451
3	148	48690265 130631278
3	205	15427773 34231711
3	215	14694937 30607086
3	218	59315047 101650349
3	269	12639616 25203173
3	27	48107649 193705116
3	273	12214062 24664266
3	278	13698490 16347213
3	294	19432977 16033778
3	303	15111174 23849188
3	314	10341228 14141205
3	316	18557814 18164244
3	4	46284596 225497184
3	40	16610419 77818871
3	438	13789390 10057337
3	446	15798336 8698356
3	490	14036495 4074533
3	504	10334032 5495257
3	55	39275630 111111702
3	56	11927810 65921827
3	6	294703801 861509624
3	64	32050495 110022797
3	69	15367115 61147438
3	7	56973038 283498312
3	73	11524012 30761100
3	737	11872375 1947337
3	77	28704593 95050199
3	83	22142795 70936584
3	87	13500867 42830098
3	897	10474615 818279
3	90	16697327 71825221
3	987	12791441 0
4	11	41453675 147985329
4	148	12169093 37063428
4	218	14415096 28766655
4	27	11607994 53851733
4	6	56706634 215789206
4	7	13553806 77494553
64	148	10979347 42927525
64	218	12572896 33554411
6	11	248682747 641804379
6	135	15645225 60382304
6	136	19014729 54153990
6	138	27354043 64024983
6	148	57069773 145802479
6	155	10181840 36862387
6	205	17894359 38131375
6	215	17328718 34160610
6	218	70236445 113630794
6	25	11149572 78115787
6	269	14851834 28019345
6	27	56999651 217352098
6	273	14233156 27370917
6	278	16141071 18285964
6	294	23708961 18145894
6	303	17610883 26474735
6	314	12126418 15716423
6	316	22011564 20267673
6	364	10637363 12400892
6	40	19534266 86968621
6	438	15965878 11163096
6	446	18631893 9690163
6	49	10826042 54630395
6	490	17113278 4604242
6	504	12039855 6079802
6	512	11231938 4075256
6	55	47941430 125836757
6	56	13658213 72864838
6	64	38045787 123288466
6	69	18139570 68249599
6	7	67837272 319919644
6	73	13975998 34724315
6	737	14060459 2168974
6	77	34149324 106522214
6	83	26062559 79325576
6	87	15601265 47634683
6	897	12092420 907052
6	90	19134453 79520668
6	987	14864391 0
7	11	52987586 245350534
7	148	16816790 59897095
7	218	19705138 46212511
7	27	23224407 126373951
7	55	11739027 50121866
7	64	10746834 53308607
7	83	10489172 44661123
11	135	13396429 56668991
11	136	15287044 49581044
11	138	21331591 57881165
11	148	46835227 134444527
11	205	14805178 34930539
11	215	13936012 31296849
11	218	55968209 103773822
11	269	12046433 25847657
11	27	45001041 195601671
11	273	11773606 25338181
11	278	12930265 16635188
11	294	17495114 16010990
11	303	14597441 24610844
11	314	9910404 14554731
11	316	17484323 18655464
11	40	15812781 79370027
11	438	13552023 10446090
11	446	14928191 8900378
11	490	12644110 4073858
11	504	9951018 5660051
11	55	35359429 110725530
11	56	11824594 68571905
11	64	30064344 111992388
11	69	14603560 62575061
11	73	10453965 30818809
11	737	11230803 1993030
11	77	26958702 96819307
11	83	21028411 72436063
11	87	12979816 43716933
11	897	10082922 838745
11	90	16595765 75037930
11	987	12345471 0
77	148	10039511 41197404
77	218	11466414 32968852
55	148	10749103 35136089
55	218	12734387 28313486
27	148	14379106 52554421
27	218	16820041 40184242
27	55	10015184 43629500
148	218	30077241 77304098
3	27	148	11934288 46066122
3	27	218	13782791 35170500
3	148	218	25192163 67761320
6	55	218	11440450 27247797
1	2	11	11794877 74666967
1	2	3	12090177 100110220
1	2	6	13895488 96540399
6	27	148	13397439 50905950
6	27	218	15525305 38880291
1	3	11	72504401 325092414
1	3	138	10974077 38970536
1	3	148	25612210 90254657
1	3	218	29499440 69922076
1	3	27	22434988 122067842
1	3	4	18455900 124317082
1	3	55	16067934 68477474
1	3	6	92110067 449542246
1	3	64	15521207 73937161
1	3	7	25979820 172633475
1	3	77	13826103 64315232
1	3	83	10970492 47595313
1	3	90	10266495 54155932
6	148	218	28254004 74942908
1	4	11	17674770 89966974
1	4	6	21493131 121462487
2	3	11	18170888 95777558
2	3	6	22397826 128563167
1	6	11	85276514 365159707
1	6	138	12560714 43255106
1	6	148	29017851 100070681
1	6	218	33596160 77563490
1	6	27	25601542 135770513
1	6	316	10437027 14212324
1	6	55	18653849 76487104
1	6	64	17706199 82097694
1	6	7	29739934 192601225
1	6	77	15807887 71446734
1	6	83	12474437 52796051
1	6	90	11483543 59746029
3	4	11	28867198 122034460
3	4	218	11268003 24797183
3	4	6	36890998 171949489
3	4	7	10425474 65359888
1	7	11	25432964 155586424
1	7	148	10269351 43760383
1	7	218	11600724 33735479
1	7	27	12848493 83727922
11	27	148	12122279 48121408
11	27	218	13853772 36556741
2	6	11	21107554 106927715
11	148	218	25701032 70898605
3	6	11	152055218 512324952
3	6	135	12267760 52793333
3	6	136	13912500 46320188
3	6	138	19328078 54098017
3	6	148	42593534 124754502
3	6	205	13705300 32699363
3	6	215	12677586 29139126
3	6	218	50845182 96810854
3	6	269	10999362 24232824
3	6	27	41066977 182770195
3	6	273	10801148 23772865
3	6	278	11817023 15512540
3	6	294	15625308 14898315
3	6	303	13367714 23016157
3	6	316	15843345 17354058
3	6	40	14432689 74141746
3	6	438	12353847 9691476
3	6	446	13622362 8316001
3	6	490	11304428 3800124
3	6	55	31557073 103177006
3	6	56	10887135 63951605
3	6	64	27312969 104272730
3	6	69	13253044 58341572
3	6	7	48183745 264844212
3	6	737	10184530 1861751
3	6	77	24381837 90161211
3	6	83	19203736 67471077
3	6	87	12055824 40977681
3	6	90	15243800 69676237
3	6	987	11366316 0
3	7	11	39688094 207435587
3	7	148	13869993 52386397
3	7	218	16030383 40354121
3	7	27	19028797 109291102
4	6	11	33994318 137442318
4	6	148	11014293 35561282
4	6	218	12866900 27560774
4	6	27	10309056 51159058
4	6	7	11952391 73074445
6	64	148	10273638 41692208
6	64	218	11655257 32572853
1	11	138	10787341 40123544
1	11	148	25751864 93985093
1	11	218	29285864 72367148
1	11	27	22040235 125271004
1	11	55	15451576 69763887
1	11	64	15337575 76423305
1	11	77	13685808 66488940
1	11	83	10892780 49252969
1	11	90	10536560 57005117
6	7	11	45814230 231849123
6	7	148	15605947 57939338
6	7	218	18101473 44647799
6	7	27	21444181 121269534
6	7	55	10407929 47748235
3	11	135	10882365 49774266
3	11	136	11737664 42763373
3	11	138	15915438 49415801
3	11	148	36563280 115859571
3	11	205	11766817 30153255
3	11	215	10699712 26934279
3	11	218	42672122 89182138
3	11	27	34115094 166152675
3	11	278	9930511 14245604
3	11	294	12302553 13348681
3	11	303	11556678 21508500
3	11	316	13261034 16105615
3	11	40	12220143 68205326
3	11	438	10890353 9120238
3	11	446	11467489 7702417
3	11	55	24878445 92271093
3	11	64	22746845 95677333
3	11	69	11203742 53928877
3	11	77	20290460 82726099
3	11	83	16213292 62124052
3	11	87	10386750 37839989
3	11	90	13651095 66015871
4	11	218	11111993 25532575
6	11	135	12284716 54955595
6	11	136	13462958 47478910
6	11	138	18400769 55047040
6	11	148	41750988 128823433
6	11	205	13358233 33475130
6	11	215	12266662 29913670
6	11	218	49030266 99222429
6	11	269	10697261 24927091
6	11	27	39233932 185427715
6	11	273	10596044 24484189
6	11	278	11380716 15852852
6	11	294	14455606 14977801
6	11	303	13143203 23809735
6	11	316	15259496 17889952
6	11	40	14001067 75894492
6	11	438	12335630 10091088
6	11	446	13140654 8542021
6	11	490	10458583 3822827
6	11	55	29214386 103548347
6	11	56	10937644 66648059
6	11	64	26189629 106628851
6	11	69	12854220 59917581
6	11	77	23414194 92227318
6	11	83	18583695 69153977
6	11	87	11762155 41953696
6	11	90	15355607 72931729
6	11	987	11153802 0
7	11	148	14048525 54639322
7	11	218	16062556 41883003
7	11	27	18908895 112195580
1	27	218	10022465 29361475
3	6	27	148	11263051 44710089
3	6	27	218	12923403 34110847
3	6	148	218	23867798 65802050
1	3	4	11	13816239 76605092
1	3	4	6	16276544 101762231
1	3	6	11	62892091 306982764
1	3	6	138	10007101 37513111
1	3	6	148	23821127 87237208
1	3	6	218	27183279 67539823
1	3	6	27	20529466 117056680
1	3	6	55	14249934 65189695
1	3	6	64	14236957 71216701
1	3	6	7	23648701 164653317
1	3	6	77	12657168 61970600
1	3	6	83	10125198 45899300
1	3	7	11	20654437 134388779
1	3	7	27	10862612 73278487
1	4	6	11	15805972 85507661
2	3	6	11	16102444 91162985
3	11	27	148	10295974 42367554
3	11	27	218	11673220 32160396
3	4	6	11	24928337 114591348
3	4	6	218	10317703 23855394
1	6	7	11	23369250 149262862
1	6	7	218	10993556 32844766
1	6	7	27	12139667 81008178
6	11	27	148	11494335 46765034
6	11	27	218	13061870 35505394
1	3	11	148	21478493 82210371
1	3	11	218	24153454 63257689
1	3	11	27	18026314 108520288
1	3	11	55	12168030 59883977
1	3	11	64	12584336 66594798
1	3	11	77	11185473 57920187
6	11	148	218	24437365 68927283
3	6	7	11	35601740 197284167
3	6	7	148	13049395 50786326
3	6	7	218	14975924 39091650
3	6	7	27	17785385 105144571
1	6	11	138	9929933 38709310
1	6	11	148	24120921 90997385
1	6	11	218	27214390 70032372
1	6	11	27	20345404 120418091
1	6	11	55	13886602 66631807
1	6	11	64	14195888 73775755
1	6	11	77	12642370 64193234
1	6	11	83	10129157 47587455
1	6	11	90	10081327 55744328
1	7	11	218	10048613 31154531
1	7	11	27	10975032 75945347
3	6	11	135	10197296 48397000
3	6	11	136	10673417 41148822
3	6	11	138	14256683 47281625
3	6	11	148	33550392 111467026
3	6	11	205	10872121 29006653
3	6	11	218	38704743 85701633
3	6	11	27	30793632 158434629
3	6	11	294	10673361 12606739
3	6	11	303	10688340 20872232
3	6	11	316	11989668 15519337
3	6	11	40	11146425 65527632
3	6	11	438	10146869 8839616
3	6	11	446	10434511 7427319
3	6	11	55	21610312 87149391
3	6	11	64	20534486 91626999
3	6	11	69	10188984 51887300
3	6	11	77	18264549 79243266
3	6	11	83	14765014 59591460
3	6	11	90	12875225 64307361
3	7	11	148	11875170 48018759
3	7	11	218	13463044 36780541
3	7	11	27	15837362 97592097
4	6	11	218	10263510 24615094
6	7	11	148	13282806 53041933
6	7	11	218	15094474 40633542
6	7	11	27	17756974 108133063
1	3	6	7	11	19229949 129314823
1	3	6	7	27	10313763 71005479
3	6	11	27	218	11084877 31284444
1	3	6	11	148	20306894 79748081
1	3	6	11	218	22707442 61351970
1	3	6	11	27	16845034 104599951
1	3	6	11	55	11153456 57439529
1	3	6	11	64	11792092 64452470
1	3	6	11	77	10462860 56060769
1	6	7	11	27	10449612 73683226
3	6	7	11	148	11298987 46685035
3	6	7	11	218	12749900 35745746
3	6	7	11	27	14960282 94226812
11	55	218 (9939514)
11	64	218 (10457232)
1	148	218 (19037295)
7	148	218 (10330562)
3	55	218 (10044836)
3	64	218 (10354206)
6	77	218 (10619748)
4	7	11 (10139626)
6	7	148	218 (9924746)
1	11	148	218 (16883769)
1	3	148	218 (16344516)
1	6	148	218 (18205925)
1	2	3	6 (10919837)
1	2	6	11 (10772942)
3	11	148	218 (21874107)
1	3	4	6	11 (12613407)
1	6	11	148	218 (16233616)
1	3	6	148	218 (15683289)
1	3	11	148	218 (14601575)
3	6	11	148	218 (20888038)
1	3	6	11	148	218 (14070111)
